id,department,code,department_electoral_district
u01,Chuquisaca,01,01
u02,Chuquisaca,02,02
u03,Chuquisaca,03,03
u04,Chuquisaca,04,04
u05,Chuquisaca,05,05
u06,La Paz,06,01
u07,La Paz,07,02
u08,La Paz,08,03
u09,La Paz,09,04
u10,La Paz,10,05
u11,La Paz,11,06
u12,La Paz,12,07
u13,La Paz,13,08
u14,La Paz,14,09
u15,La Paz,15,10
u16,La Paz,16,11
u17,La Paz,17,12
u18,La Paz,18,13
u19,La Paz,19,14
u20,Cochabamba,20,01
u21,Cochabamba,21,02
u22,Cochabamba,22,03
u23,Cochabamba,23,04
u24,Cochabamba,24,05
u25,Cochabamba,25,06
u26,Cochabamba,26,07
u27,Cochabamba,27,08
u28,Cochabamba,28,09
u29,Oruro,29,01
u30,Oruro,30,02
u31,Oruro,31,03
u32,Oruro,32,04
u33,Potosí,33,01
u34,Potosí,34,02
u35,Potosí,35,03
u36,Potosí,36,04
u37,Potosí,37,05
u38,Potosí,38,06
u39,Potosí,39,07
u40,Tarija,40,01
u41,Tarija,41,02
u42,Tarija,42,03
u43,Tarija,43,04
u44,Santa Cruz,44,01
u45,Santa Cruz,45,02
u46,Santa Cruz,46,03
u47,Santa Cruz,47,04
u48,Santa Cruz,48,05
u49,Santa Cruz,49,06
u50,Santa Cruz,50,07
u51,Santa Cruz,51,08
u52,Santa Cruz,52,09
u53,Santa Cruz,53,10
u54,Santa Cruz,54,11
u55,Santa Cruz,55,12
u56,Santa Cruz,56,13
u57,Santa Cruz,57,14
u58,Beni,58,01
u59,Beni,59,02
u60,Beni,60,03
u61,Beni,61,04
u62,Pando,62,01
u63,Pando,63,02