id,department,department_seat
s01,Chuquisaca,01
s02,Chuquisaca,02
s03,Chuquisaca,03
s04,Chuquisaca,04
s05,La Paz,01
s06,La Paz,02
s07,La Paz,03
s08,La Paz,04
s09,Cochabamba,01
s10,Cochabamba,02
s11,Cochabamba,03
s12,Cochabamba,04
s13,Oruro,01
s14,Oruro,02
s15,Oruro,03
s16,Oruro,04
s17,Potosí,01
s18,Potosí,02
s19,Potosí,03
s20,Potosí,04
s21,Tarija,01
s22,Tarija,02
s23,Tarija,03
s24,Tarija,04
s25,Santa Cruz,01
s26,Santa Cruz,02
s27,Santa Cruz,03
s28,Santa Cruz,04
s29,Beni,01
s30,Beni,02
s31,Beni,03
s32,Beni,04
s33,Pando,01
s34,Pando,02
s35,Pando,03
s36,Pando,04